무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
J1898,경기도,군포시,시도,,고산로,3,,경기도 군포시 산본동 1063-2,37.3682715,126.9319583,노을사거리(한얼공원삼거리→목련삼거리),2,30,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1899,경기도,군포시,시도,,금산로,3,,경기도 군포시 산본동 1243,37.3704198,126.9367283,산본래미안 하이어스 입구(산본사거리→산본시장사거리),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1901,경기도,군포시,시도,,고산로,3,경기도 군포시 고산로 429,경기도 군포시 산본동 1156번지,37.3526449,126.9274947,소방서사거리(철쭉공원→오금동행정복지센터),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1902,경기도,군포시,시도,,당산로,3,경기도 군포시 당산로 149,경기도 군포시 금정동 738-4,37.3642878,126.9436502,예전각 앞 사거리(금정초교→군포중학교),2,30,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
G6953,경기도,군포시,시도,,산본로482번길,1,경기도 군포시 곡란로103번안길 8,경기도 군포시 산본동 1087-4,37.37153101,126.928394,한양목련(아) 1210동 앞 삼거리 어린이보호구역(태을초교)(태을초교→옥담길삼거리),1,30,2,2021,경기도남부경찰청,031-888-3952,2025-03-28
G0892,경기도,군포시,시도,,산본로,2,,경기도 군포시 금정동 886,37.3587137,126.9348174,산본역동부사거리(군포시민체육광장-&amp;gt;군포시청),2,60,99,2018,경기도남부경찰청,031-888-3952,2025-03-28
90,경기도,군포시,시도,5번,금산로,01,경기도 군포시 고산로 701,경기도 군포시 산본동 300,37.3700684,126.9370919,산본래미안하이어스입구 맞은편(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
93,경기도,군포시,시도,18번,삼성로,02,경기도 군포시 삼성로 79,경기도 군포시 당동 1042,37.3409395,126.9356425,삼성마을1단지사거리 맞은편(후면),02,30,,,경기남부경찰청,031-888-3207,2025-06-25
96,경기도,군포시,시도,13번,광정로,01,경기도 군포시 광정로 25-4,경기도 군포시 금정동 898,37.3559226,126.9327924,양문교회삼거리 맞은편(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
100,경기도,군포시,시도,40번,공단로,01,경기도 군포시 공단로 97,경기도 군포시 당동 135-3,37.3536806,126.9496219,군포역 2번출구(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
103,경기도,군포시,시도,38번,금당로,02,경기도 군포시 당동로 21번길 52,경기도 군포시 당동 1008,37.3491215,126.9406497,신산본이편한세상 맞은편(후면),02,30,,,경기남부경찰청,031-888-3207,2025-06-25
117,경기도,군포시,시도,7번,고산로,02,경기도 군포시 고산로 429,경기도 군포시 산본동 1237,37.3528296,126.9274696,군포소방서단일로(후면),01,50,,,경기남부경찰청,031-888-3207,2025-06-25
120,경기도,군포시,시도,2번,고산로,02,경기도 군포시 고산로 599,경기도 군포시 산본동 1222,37.3662009,126.9284538,문화예술회관사거리 산본IC방향,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
123,경기도,군포시,시도,19번,엘에스로,02,경기도 군포시 엘에스로 156,경기도 군포시 금정동 1-49,37.3742349,126.9454169,대양충전소 앞 삼거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
H3424,경기도,군포시,시도,,산본로,3,경기도 군포시 산본로 331-2,경기도 군포시 산본동 1178번지,37.3603116,126.9331582,군포시청삼거리(군포문화예술회관→산본역),2,50,99,2022,경기도남부경찰청,031-888-3952,2025-03-28
55,경기도,군포시,시도,10번,산본천로,02,경기도 군포시 광정로 96,경기도 군포시 산본동 1122,37.361822,126.931583,산본동 1175 중앙공원 사거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
58,경기도,군포시,시도,7번,고산로,02,경기도 군포시 고산로 460,경기도 군포시 산본동 1145-9,37.3546201,126.926198,산본동  8단지입구사거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
61,경기도,군포시,시도,7번,금산로,02,경기도 군포시 금산로 88-2,경기도 군포시 산본동 300,37.372171,126.935863,산본동 산본사거리2,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
64,경기도,군포시,시도,426번,고산로,02,경기도 군포시 당정역로7,경기도 군포시 당정동 1025-3,37.343394,126.951293,당정푸르지오아파트,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
18,경기도,군포시,시도,4번,산본로,02,경기도 군포시 산본로,경기도 군포시 산본동 1201,37.367843,126.926987,산본동 1101-2 산본동성당사거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
J0891,경기도,군포시,시도,,고산로,2,,경기도 군포시 산본동 1229,37.35525701,126.926151,도장중학교 앞 어린이보호구역(신흥초교)(군포소방서→군포문화예술회관),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
29,경기도,군포시,시도,38번,용호1로,01,경기도 군포시 용호1로 34,경기도 군포시 당동 967,37.3456701,126.938727,당동 967 당동초교 앞,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
J0838,경기도,군포시,시도,,고산로,3,,경기도 군포시 산본동 75-91,37.3758857,126.9401743,산본고가 옆길 어린이보호구역(관모초교)(산본2동행정복지센터→산본고가삼거리),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
J0841,경기도,군포시,시도,,당산로,3,경기도 군포시 당산로 182,경기도 군포시 금정동 702-20번지 효성타운,37.36663201,126.941846,금정초교 앞 어린이보호구역(군포중학교→산본전통시장),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
J0844,경기도,군포시,시도,,고산로,3,경기도 군포시 고산로 542,경기도 군포시 산본동 1146-18번지,37.36173011,126.923456,둔전초교삼거리 어린이보호구역(군포문화예술회관→군포소방서),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1892,경기도,군포시,시도,,산본로,3,,경기도 군포시 당정동 126-11,37.3547919,126.9748011,식자재마트앞(군포고가교→애자교),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1896,경기도,군포시,시도,,금당로,3,,경기도 군포시 당동 산 37-8,37.3539694,126.9417582,당동1공영주차장(웃터어린이공원→금당터널입구사거리),2,30,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1900,경기도,군포시,시도,,금산로,3,경기도 군포시 금산로 90,경기도 군포시 산본동 216-17번지,37.3699328,126.9371924,산본래미안 하이어스 입구 맞은편(산본시장사거리→산본사거리),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
7,경기도,군포시,시도,80번,번영로,01,경기도 군포시 번영로28번길 45-1,경기도 군포시 부곡동 1120-6,37.324355,126.9449901,성요셉성당앞,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
10,경기도,군포시,시도,8번,번영로,01,경기도 군포시 번영로 165,경기도 군포시 부곡동 737-1,37.330238,126.928502,남군포IC앞 사거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
13,경기도,군포시,시도,12번,산본천로,01,경기도 군포시 금산로 65,경기도 군포시 산본동 1241,37.367506,126.935886,산본동 1257 삼성레미안 124동앞,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
70,경기도,군포시,시도,29번,수리산로,02,경기도 군포시 수리산로 187,경기도 군포시 산본동 1224,37.364549,126.921086,궁내초교 정문 건너편,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
73,경기도,군포시,시도,233번,대야2로,02,경기도 군포시 대야2로 148,경기도 군포시 대야미동 626-2,37.330153,126.915139,군포대야초교 정문,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
J0848,경기도,군포시,시도,,산본로386번길,3,경기도 군포시 산본로386번길 60,경기도 군포시 산본동 209번지,37.36871301,126.933936,산본초교 정문 앞 어린이보호구역(산본2동우체국→광정초교),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H9835,경기도,군포시,시도,,용호2로,3,,경기도 군포시 당동 874-1,37.34253901,126.940336,용호초교 앞 어린이보호구역(용호사거리→평생학습원사거리),1,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H6292,경기도,군포시,시도,,번영로,3,경기도 군포시 산본로324번길 16,경기도 군포시 금정동 848번지,37.3603521,126.9370611,군포경찰서 구 정문 앞 삼거리(금정IC→산본역),2,50,99,2022,경기도남부경찰청,031-888-3952,2025-03-28
J1907,경기도,군포시,시도,,광정로,3,,경기도 군포시 금정동 898,37.3557622,126.9329449,양문교회 앞 삼거리(화산초교삼거리→산본역서부사거리),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1910,경기도,군포시,시도,,번영로550번길,1,경기도 군포시 번영로550번길 11-2,경기도 군포시 금정동 888번지,37.35874701,126.9385892,무궁화 1단지입구 앞 어린이보호구역(흥하유치원)(군포고등학교→군포경찰서),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
44,경기도,군포시,시도,122번,용호2로,01,경기도 군포시 용호2로54번길 13,경기도 군포시 당동 886-3,37.344336,126.945084,당동 890 옥천초교 사거리,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
48,경기도,군포시,시도,28번,고산로,01,경기도 군포시 산본로386번길 21,경기도 군포시 산본동 1092,37.366874,126.932962,산본동 1168 백합어린이공원 사거리,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
74,경기도,군포시,시도,17번,송부로,02,경기도 군포시 송부로273번길 7,경기도 군포시 부곡동 1155,37.321923,126.940942,부곡중앙초교 앞 삼거리,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
77,경기도,군포시,일반국도,47번,군포로,01,경기도 군포시 군포로 463,경기도 군포시 당동 795-4,37.347292,126.942856,군포초교 앞,01,30,,,경기남부경찰청,031-888-3207,2025-06-25
J4833,경기도,군포시,시도,,엘에스로,3,경기도 군포시 엘에스로 156,경기도 군포시 금정동 1-49번지,37.37438801,126.945152,대양충전소 앞 삼거리(의왕IC→명학역),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J3076,경기도,군포시,시도,,번영로,3,,경기도 군포시 부곡동 737-8,37.3301649,126.9293107,남군포IC사거리(남군포TG→군포복합물류터미널),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
H8884,경기도,군포시,시도,,고산로,3,,경기도 군포시 산본동 1229,37.35455101,126.9260401,철쭉동산 앞 어린이보호구역(신흥초교)(군포문화예술회관→군포소방서),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
16,경기도,군포시,시도,13번,광정로,02,경기도 군포시 산본로323번길 26-13,경기도 군포시 산본동 1143-1,37.359588,126.929636,산본동 1143-1 세종주공 638동 앞,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
J0605,경기도,군포시,시도,,수리산로,3,,경기도 군포시 산본동 1227,37.35571901,126.921019,능내초교 입구 교차로 어린이보호구역(수리고교→군포시청),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
22,경기도,군포시,시도,47번,송부로,01,경기도 군포시 송부로73번길 7,경기도 군포시 도마교동 458-2,37.316935,126.921864,도마교동 470,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
23,경기도,군포시,시도,47번,송부로,02,경기도 군포시 송부로73번길 7,경기도 군포시 도마교동 458-2,37.316856,126.921905,도마교동 470,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
24,경기도,군포시,시도,81번,송부로,02,경기도 군포시 송부로273번길 7,경기도 군포시 부곡동 1113,37.322354,126.941442,부곡동 1113 부곡중앙초교 앞,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
25,경기도,군포시,시도,41번,고산로,02,경기도 군포시 고산로151번길 21,경기도 군포시 당정동 980-4,37.346801,126.956019,당정동 980-3 신세기프라자 빌딩 앞,01,30,,,경기남부경찰청,031-888-3207,2025-06-25
26,경기도,군포시,시도,33번,오금로,01,경기도 군포시 오금로 48,경기도 군포시 금정동 871-5,37.353737,126.933904,금정동 871-5 화산초교 삼거리,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
27,경기도,군포시,시도,33번,오금로,02,경기도 군포시 오금로 48,경기도 군포시 금정동 871-5,37.3535501,126.933434,금정동 871-5 율곡아파트 입구,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
28,경기도,군포시,시도,32번,오금로,01,경기도 군포시 오금로 131,경기도 군포시 금정동 850-1,37.359298,126.941245,금정동 865-1 양정초교 앞 교차로,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
30,경기도,군포시,시도,29번,수리산로,01,경기도 군포시 수리산로 112,경기도 군포시 산본동 1151-10,37.359508,126.918158,산본동 1150-1 수리초교삼거리,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
31,경기도,군포시,시도,9번,번영로,01,경기도 군포시 산본로324번길 16,경기도 군포시 금정동 848,37.360158,126.936742,금정동 848 군포경찰서 구 정문앞  삼거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
33,경기도,군포시,일반국도,47번,군포로,01,경기도 군포시 군포로 490,경기도 군포시 당동 903,37.350648,126.944576,당동 784-6 당동우체국사거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
J4498,경기도,군포시,시도,,군포로,3,경기도 군포시 군포로 697,경기도 군포시 금정동 78-3,37.3677996,126.9449025,스마트호텔삼거리(금정역→금정IC),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J4499,경기도,군포시,시도,,고산로211번길,3,,경기도 군포시 당정동 1025-1,37.3434517,126.9511995,군포당정푸르지오아파트(당정지하차도하부→오봉역),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J4500,경기도,군포시,일반국도,47,군포로,3,,경기도 군포시 대야미동 303-7,37.3266129,126.9196602,대야미삼거리 2차로(군포IC→대야지하차도),2,60,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J4501,경기도,군포시,일반국도,47,군포로,3,,경기도 군포시 대야미동 303-7,37.3266115,126.9196649,"대야미삼거리 3,4차로(군포IC→대야지하차도)",2,60,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
H5137,경기도,군포시,시도,,송부로273번길,3,경기도 군포시 송부로273번길 7,경기도 군포시 부곡동 1113번지,37.3224563,126.9413704,부곡중앙초교 앞 어린이보호구역(휴먼시아→초평지구),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H3423,경기도,군포시,시도,,고산로,3,,경기도 군포시 당정동 557-7,37.3488318,126.9546629,당정마을삼거리(현대케피코→한세대학교),2,50,99,2022,경기도남부경찰청,031-888-3952,2025-03-28
H6288,경기도,군포시,시도,,고산로,3,,경기도 군포시 산본동 1146-19,37.3617701,126.9236906,둔전초교삼거리 어린이보호구역(둔전초교)(8단지입구사거리→남천병원사거리),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H6293,경기도,군포시,시도,,고산로,3,,경기도 군포시 당동 959,37.3477043,126.9405356,금정터널입구 사거리(금정터널→한세대학교),2,50,99,2022,경기도남부경찰청,031-888-3952,2025-03-28
J6939,경기도,군포시,일반국도,47,국도47,3,,경기도 군포시 당동 627-3,37.3397184,126.9377175,군포국민체육센터 건너편(군포시보건소→용호고교),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
H6274,경기도,군포시,시도,,대야2로,3,,경기도 군포시 대야미동 626-2,37.3298654,126.9155471,군포대야초교 정문 앞 어린이보호구역(대야미성당→대야미역),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H6275,경기도,군포시,시도,,호수로,3,,경기도 군포시 둔대동 252-1,37.3261756,126.9123606,둔대초교입구삼거리 어린이보호구역(둔대초교)(반월호수→대야미역),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H6277,경기도,군포시,시도,,송부로,3,,경기도 군포시 부곡동 1169,37.3220684,126.9410217,부곡중앙초교 앞 삼거리 어린이보호구역(의왕역→부곡중앙중학교),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H6278,경기도,군포시,시도,,삼성로,3,,경기도 군포시 부곡동 1206,37.3376395,126.932273,군포신기초교 정문 앞 어린이보호구역(삼성마을사거리→삼성녹화터널),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H4149,경기도,군포시,시도,,오금로,3,경기도 군포시 오금로 48,경기도 군포시 금정동 871-5,37.3539758,126.9345029,화산초교삼거리 어린이보호구역(오금동주민센터→시민체육광장),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H4150,경기도,군포시,시도,,오금로,3,,경기도 군포시 금정동 897,37.3533849,126.9330646,율곡주공아파트 입구 어린이보호구역(화산초교)(시민체육광장→오금동주민센,2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H4151,경기도,군포시,시도,,오금로,3,경기도 군포시 오금로 146,경기도 군포시 금정동 865-1,37.3594404,126.9416088,양정초교 앞 교차로 어린이보호구역(군포고등학교→금정제일공원),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H9209,경기도,군포시,시도,,산본로386번길,3,경기도 군포시 산본로386번길 5-20,경기도 군포시 산본동 1092-2,37.36568501,126.931437,광정초교 앞 어린이보호구역(산본로→산본초교),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H8015,경기도,군포시,시도,,고산로677번길,3,,경기도 군포시 산본동 1163,37.37368101,126.932946,곡란초교 앞 어린이보호구역 (산본IC → 어린이도서관삼거리),1,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H5740,경기도,군포시,일반국도,47,군포로,3,경기도 군포시 군포로 502,경기도 군포시 당동 784-6,37.3509058,126.9447158,당동우체국사거리(군포초교사거리→금정IC),2,50,99,2022,경기도남부경찰청,031-888-3952,2025-03-28
H3628,경기도,군포시,시도,,고산로151번길,3,경기도 군포시 고산로151번길 21,경기도 군포시 당정동 980-3,37.3468703,126.9559975,신세기프라자 빌딩 앞 어린이보호구역(당정초교)(경기외국어고교→군포,1,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
H8107,경기도,군포시,시도,,수리산로,3,경기도 군포시 수리산로 125,경기도 군포시 산본동 1150-1,37.35981301,126.918506,수리초교삼거리 어린이보호구역(수리고교→수리중학교),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1355,경기도,군포시,시도,,고산로,3,경기도 군포시 고산로 702,경기도 군포시 산본동 206-1,37.37211501,126.935858,산본사거리(군포문화예술회관→산본고가),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
H9901,경기도,군포시,시도,,당산로,3,경기도 군포시 금정로 31,경기도 군포시 금정동 729-21번지 삼화아파트,37.36644701,126.941874,삼화아파트 101동 앞 어린이보호구역(금정초교)(금정초교→금정고가교),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H9902,경기도,군포시,시도,,용호2로,3,경기도 군포시 용호2로 9,경기도 군포시 당동 874-3,37.34249401,126.940245,용호고교 정문 앞 어린이보호구역(평생학습원사거리→용호사거리),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H9903,경기도,군포시,시도,,용호2로54번길,3,,경기도 군포시 당동 890,37.34431201,126.9449601,꼬마천사어린이집 앞 어린이보호구역(옥천초교)(당정근린공원→옥천어린이공원),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H9904,경기도,군포시,시도,,용호1로,3,경기도 군포시 용호1로46번길 3,경기도 군포시 당동 960-4,37.34657801,126.939501,당동초교 앞 삼거리 어린이보호구역(용호사거리→금당터널입구사거리),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
H3667,경기도,군포시,시도,,용호1로,3,경기도 군포시 용호1로 34,경기도 군포시 당동 967번지,37.3465016,126.9392132,당동초교 앞 어린이보호구역(무지개마을대림아파트→당동중학교),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
J2574,경기도,군포시,시도,,복합물류로,3,,경기도 군포시 부곡동 270-1,37.33496801,126.937251,복합물류삼거리(신기초교→부곡IC),2,60,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J2575,경기도,군포시,시도,,복합물류로,3,,경기도 군포시 부곡동 270-1,37.33522801,126.936827,복합물류삼거리(부곡IC→신기초교),2,60,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
H6276,경기도,군포시,시도,,송부로273번길,3,,경기도 군포시 부곡동 1168,37.3232399,126.9421449,푸른솔어린이집 건너편 어린이보호구역(부곡중앙초교→동군포TG)(부곡중앙초교),2,30,2,2022,경기도남부경찰청,031-888-3952,2025-03-28
32,경기도,군포시,시도,7번,고산로,01,경기도 군포시 고산로,경기도 군포시 당동 399-1,37.347936,126.9402901,당동 959 금당터널입구 사거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
35,경기도,군포시,시도,63번,당산로,02,경기도 군포시 금정로 31,경기도 군포시 금정동 729-21,37.366411,126.941912,금정동 804 금정초교 사거리,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
1,경기도,군포시,시도,1번,군포로,01,경기도 군포시 군포로 750,경기도 군포시 산본동 52번지,37.3675504,126.9361462,금정동 금정역 삼거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
4,경기도,군포시,시도,42번,호수로,01,경기도 군포시 호수로 305-14,경기도 군포시 둔대동 219,37.326227,126.912157,대야미동 둔대초교 앞 삼거리,02,30,,,경기남부경찰청,031-888-3207,2025-06-25
J6887,경기도,군포시,시도,,번영로,3,,경기도 군포시 부곡동 936-6,37.33219345,126.9274159,보건소사거리(동군포TG→수리산역),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J6888,경기도,군포시,시도,,번영로,3,경기도 군포시 번영로 374,경기도 군포시 산본동 1156-12번지,37.34874066,126.9255885,군포오금동우체국 앞 삼거리(오금초교→군포시청),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J1903,경기도,군포시,시도,,공단로,3,,경기도 군포시 금정동 689-54,37.3726345,126.9438591,금정역 1번출구 맞은편(금정2교→산본2교),2,30,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1904,경기도,군포시,시도,,공단로,3,,경기도 군포시 금정동 689-54,37.37235101,126.9437411,금정역 1번출구(산본2교→금정2교),2,30,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1905,경기도,군포시,시도,,번영로,3,경기도 군포시 번영로 489,경기도 군포시 산본동 1142-7,37.3576848,126.9320679,산본역서부사거리(산본역동부사거리→도장공원),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1906,경기도,군포시,시도,,광정로,3,,경기도 군포시 금정동 898,37.3565028,126.9321707,양문교회 앞 삼거리(산본역서부사거리→화산초교삼거리),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1908,경기도,군포시,시도,,번영로,3,,경기도 군포시 금정동 887,37.3599419,126.9368992,군포경찰서 맞은편 삼거리(산본역동부사거리→신환사거리),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1909,경기도,군포시,시도,,번영로550번길,3,경기도 군포시 번영로550번길 11-2,경기도 군포시 금정동 888번지,37.3592641,126.9379894,무궁화 1단지입구 앞 어린이보호구역(흥하유치원)(군포경찰서→군포고등학교),2,30,2,2023,경기도남부경찰청,031-888-3952,2025-03-28
J2411,경기도,군포시,시도,,산본로,1,,경기도 군포시 산본동 1222,37.3662381,126.9284947,문화예술회관사거리(산본역→산본IC),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J2412,경기도,군포시,시도,,고산로,2,,경기도 군포시 산본동 1222,37.36601601,126.9284127,문화예술회관사거리(산본고가차도→둔전초교),2,50,99,2024,경기도남부경찰청,031-888-3952,2025-03-28
J1877,경기도,군포시,시도,,송부로,3,,경기도 군포시 도마교동 450-15,37.3151616,126.9160588,송부동입구2(송안초등학교→서해로지하차도),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1878,경기도,군포시,시도,,송부로,3,,경기도 군포시 부곡동 871-6,37.3205073,126.9288275,송부터널(송부터널→새터어린이공원),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1879,경기도,군포시,시도,,송부로,3,,경기도 군포시 부곡동 870-1,37.32113201,126.929228,송부터널 맞은편(새터어린이공원→송부터널),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1880,경기도,군포시,일반국도,47,군포로,3,,경기도 군포시 부곡동 768-5,37.3323678,126.9265196,보건소사거리(대야미삼거리→군포국민체육공원),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1881,경기도,군포시,시도,,삼성로,3,경기도 군포시 삼성로87번길 3-7,경기도 군포시 당동 1029번지,37.34102301,126.935398,삼성마을1단지아파트 사거리(안양컨트리클럽→신기초교),2,30,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1882,경기도,군포시,시도,,금당로,3,경기도 군포시 산본로216번길 15,경기도 군포시 당동 736-1,37.3565191,126.9435837,군포정진아파트 앞(당동체육공원→군포중학교),2,30,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1883,경기도,군포시,시도,,호수로,3,,경기도 군포시 대야미동 229-3,37.3283371,126.9165476,대야미역삼거리(둔대초등학교→온누리장로교회),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1884,경기도,군포시,시도,,호수로,3,,경기도 군포시 대야미동 234-6,37.3283986,126.9163974,대야미역삼거리2(온누리장로교회→둔대초등학교),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
J1885,경기도,군포시,시도,,고산로,3,경기도 군포시 고산로264번길 1,경기도 군포시 당동 920-6,37.3467564,126.9432132,군포초교사거리(당정지하차도→금당터널),2,50,99,2023,경기도남부경찰청,031-888-3952,2025-03-28
83,경기도,군포시,시도,7번,고산로,02,경기도 군포시 고산로 263,경기도 군포시 당동 871-1,37.346018,126.944551,평생학습원사거리,02,50,,,경기남부경찰청,031-888-3207,2025-06-25
84,경기도,군포시,시도,10번,고산로,01,경기도 군포시 고산로 599,경기도 군포시 산본동 1222,37.3654225,126.9278498,문화예술회관사거리(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
85,경기도,군포시,시도,3번,군포로,02,경기도 군포시 군포로 463,경기도 군포시 당동 944,37.3481511,126.9434717,군포초교사거리(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
86,경기도,군포시,시도,6번,번영로,01,경기도 군포시 산본로324번길 16,경기도 군포시 금정동 887,37.3598577,126.9365864,군포경찰서삼거리(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
87,경기도,군포시,시도,7번,고산로,02,경기도 군포시 고산로 647,경기도 군포시 산본동 1063-2,37.3684009,126.931691,노을사거리(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
88,경기도,군포시,시도,9번,번영로,01,경기도 군포시 번영로 489,경기도 군포시 금정동 873-4,37.3576068,126.9316537,산본역서부사거리(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
89,경기도,군포시,시도,5번,금산로,02,경기도 군포시 고산로 701,경기도 군포시 산본동 300,37.3701463,126.93697,산본래미안하이어스입구(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
91,경기도,군포시,일반국도,47번,번영로,02,경기도 군포시 군포로 221,경기도 군포시 부곡동 768-5,37.332394,126.9264041,보건소사거리(후면),02,50,,,경기남부경찰청,031-888-3207,2025-06-25
92,경기도,군포시,시도,18번,삼성로,01,경기도 군포시 삼성로 79,경기도 군포시 당동 1042,37.3410017,126.9356347,삼성마을1단지사거리(후면),02,30,,,경기남부경찰청,031-888-3207,2025-06-25
94,경기도,군포시,시도,63번,당산로,01,경기도 군포시 번영로 624,경기도 군포시 금정동 741,37.3640911,126.9438175,예전각 앞 사거리(후면),02,30,,,경기남부경찰청,031-888-3207,2025-06-25
